sample,dice_score,label_sum,prediction_sum
PETCT_dc3437c9b9_11-21-2002-NA-PET-CT Ganzkoerper  primaer mit KM-60759.nii.gz,1.0,0.0,0
PETCT_ca89066e44_08-11-2005-NA-PET-CT Ganzkoerper  primaer mit KM-64009.nii.gz,0.0,5950.0,0
PETCT_a57bd6b006_11-09-2002-NA-PET-CT Ganzkoerper  primaer mit KM-13048.nii.gz,1.0,0.0,0
PETCT_bef465b4ad_05-04-2007-NA-PET-CT Ganzkoerper  primaer mit KM-73031.nii.gz,0.0,0.0,130
PETCT_2e97a9e5c2_06-23-2003-NA-PET-CT Ganzkoerper  primaer mit KM-00442.nii.gz,0.0,1692.0,0
PETCT_5e0bc6cdda_10-27-2001-NA-PET-CT Ganzkoerper  primaer mit KM-75350.nii.gz,0.0,6985.0,0
PETCT_af73b85f2c_06-19-2003-NA-PET-CT Ganzkoerper  primaer mit KM-19562.nii.gz,0.0,4325.0,0
PETCT_20995a0fe1_12-02-2005-NA-PET-CT Ganzkoerper nativ-92555.nii.gz,0.0,650.0,0
PETCT_a933c9af60_09-19-2002-NA-PET-CT Ganzkoerper nativ-00786.nii.gz,1.0,0.0,0
PETCT_4848bebb10_02-23-2003-NA-PET-CT Ganzkoerper  primaer mit KM-17214.nii.gz,0.0,21811.0,0
PETCT_e79291780d_05-14-2007-NA-PET-CT Ganzkoerper  primaer mit KM-72066.nii.gz,0.0,180.0,0
PETCT_e4e99dbb47_07-17-2005-NA-PET-CT Ganzkoerper  primaer mit KM-52196.nii.gz,1.0,0.0,0
PETCT_55d55902c6_05-11-2006-NA-PET-CT Ganzkoerper  primaer mit KM-26216.nii.gz,1.0,0.0,0
PETCT_979f9c3dba_06-22-2006-NA-PET-CT Ganzkoerper  primaer mit KM-59545.nii.gz,0.0,1319.0,0
PETCT_14c4d2c208_09-22-2002-NA-PET-CT Ganzkoerper  primaer mit KM-60478.nii.gz,0.0,2042.0,0
PETCT_7ee7610b9e_01-21-2006-NA-PET-CT Ganzkoerper  primaer mit KM-58977.nii.gz,1.0,0.0,0
PETCT_f01e83894d_03-24-2005-NA-PET-CT Ganzkoerper  primaer mit KM-61290.nii.gz,0.0,781.0,0
PETCT_760c77b289_01-20-2002-NA-PET-CT Ganzkoerper  primaer mit KM-00579.nii.gz,0.0,4866.0,0
PETCT_a41d59682f_09-29-2006-NA-PET-CT Ganzkoerper  primaer mit KM-76863.nii.gz,1.0,0.0,0
PETCT_62b114e09b_03-27-2003-NA-PET-CT Ganzkoerper  primaer mit KM-71302.nii.gz,0.8269851517107811,1487.0,1611
PETCT_ad7cd4a9d2_10-02-2003-NA-Unspecified CT ABDOMEN-67897.nii.gz,0.5101987705837484,72837.0,38598
PETCT_c16d325d12_02-15-2003-NA-PET-CT Ganzkoerper  primaer mit KM-77095.nii.gz,0.7455355050386688,11848.0,9487
PETCT_3f3df20439_05-09-2005-NA-PET-CT Ganzkoerper  primaer mit KM-26210.nii.gz,1.0,0.0,0
PETCT_69ee62b035_12-26-2002-NA-PET-CT Ganzkoerper  primaer mit KM-42071.nii.gz,1.0,0.0,0
PETCT_595975bc57_03-10-2006-NA-PET-CT Ganzkoerper  primaer mit KM-47727.nii.gz,1.0,0.0,0
PETCT_402c061122_02-22-2003-NA-PET-CT Ganzkoerper nativ-88656.nii.gz,1.0,0.0,0
PETCT_bbb2df1e31_01-29-2005-NA-PET-CT Ganzkoerper  primaer mit KM-90674.nii.gz,1.0,0.0,0
PETCT_c2ffda4725_04-11-2003-NA-PET-CT Teilkoerper  primaer mit KM-94251.nii.gz,1.0,0.0,0
PETCT_a3ce52b2a8_11-15-2003-NA-PET-CT Ganzkoerper  primaer mit KM-48149.nii.gz,1.0,0.0,0
PETCT_71ac560ffe_03-19-2007-NA-PET-CT Ganzkoerper  primaer mit KM-20185.nii.gz,1.0,0.0,0
PETCT_5d10be5b89_05-30-2005-NA-PET-CT Ganzkoerper  primaer mit KM-53829.nii.gz,0.039026383674303375,38153.0,1000
PETCT_d31a5688a2_09-21-2003-NA-PET-CT Ganzkoerper  primaer mit KM-27218.nii.gz,1.0,0.0,0
PETCT_53ccb9efbb_12-15-2005-NA-PET-CT Ganzkoerper  primaer mit KM-33641.nii.gz,1.0,0.0,0
PETCT_62405d117c_03-11-2001-NA-PET-CT Ganzkoerper  primaer mit KM-26235.nii.gz,0.0,10552.0,0
PETCT_2922971d0f_07-19-2003-NA-PET-CT Ganzkoerper  primaer mit KM-78645.nii.gz,1.0,0.0,0
PETCT_d674a028b1_12-03-2001-NA-PET-CT Ganzkoerper  primaer mit KM-18993.nii.gz,0.0,109.0,0
PETCT_6f46454a8d_09-12-2002-NA-PET-CT Ganzkoerper  primaer mit KM-14772.nii.gz,1.0,0.0,0
PETCT_1a1712f7d0_02-14-2005-NA-PET-CT Ganzkoerper  primaer mit KM-78148.nii.gz,0.0,1112.0,0
PETCT_185da4c8b6_04-18-2003-NA-PET-CT Ganzkoerper  primaer mit KM-06919.nii.gz,0.5886258660508084,3741.0,3187
PETCT_9521502dbb_05-17-2007-NA-PET-CT Ganzkoerper  primaer mit KM-42207.nii.gz,0.0,3754.0,0
PETCT_46ee4ddd68_03-19-2007-NA-PET-CT Ganzkoerper  primaer mit KM-86763.nii.gz,0.0,877.0,0
PETCT_b52920038c_06-07-2003-NA-PET-CT Ganzkoerper  primaer mit KM-50621.nii.gz,0.5658707912600047,18685.0,10926
PETCT_1a1712f7d0_07-05-2001-NA-PET-CT Ganzkoerper  primaer mit KM-51804.nii.gz,0.0,5421.0,0
PETCT_2a6f4f0753_07-31-2003-NA-PET-CT Ganzkoerper  primaer mit KM-21938.nii.gz,0.0,46.0,0
PETCT_d472033d3b_09-28-2002-NA-PET-CT Ganzkoerper nativ-51450.nii.gz,1.0,0.0,0
PETCT_f637b5930b_07-27-2003-NA-PET-CT Ganzkoerper nativ u. mit KM-06338.nii.gz,0.0,141.0,0
PETCT_556b56485a_08-29-2003-NA-PET-CT Ganzkoerper  primaer mit KM-83019.nii.gz,0.0,13885.0,0
PETCT_b1219c408b_10-04-2002-NA-PET-CT Ganzkoerper  primaer mit KM-34572.nii.gz,0.0,10660.0,0
PETCT_93132553f6_08-12-2002-NA-PET-CT Ganzkoerper  primaer mit KM-51100.nii.gz,1.0,0.0,0
PETCT_38733c001e_07-28-2006-NA-PET-CT Ganzkoerper  primaer mit KM-05310.nii.gz,1.0,0.0,0
PETCT_e9feb1135e_07-01-2005-NA-PET-CT Ganzkoerper  primaer mit KM-42484.nii.gz,1.0,0.0,0
PETCT_01140d52d8_08-13-2005-NA-PET-CT Ganzkoerper  primaer mit KM-56839.nii.gz,0.8252820461316996,15383.0,14488
PETCT_380f71df1e_08-19-2001-NA-PET-CT Ganzkoerper  primaer mit KM-68308.nii.gz,0.011917820402597017,33475.0,256
PETCT_07574bfa00_04-20-2003-NA-PET-CT Ganzkoerper  primaer mit KM-91235.nii.gz,0.6550995597417466,50629.0,34094
PETCT_437d2c96fe_11-16-2003-NA-PET-CT Teilkoerper nativ-51325.nii.gz,1.0,0.0,0
PETCT_072833774e_07-23-2006-NA-PET-CT Teilkoerper  primaer mit KM-84430.nii.gz,1.0,0.0,0
PETCT_ae96f738c0_09-11-2003-NA-PET-CT Ganzkoerper  primaer mit KM-60169.nii.gz,1.0,0.0,0
PETCT_ddbb3c69f0_08-11-2003-NA-PET-CT Ganzkoerper  primaer mit KM-00479.nii.gz,0.5939699070586656,119437.0,245632
PETCT_1a1712f7d0_02-16-2007-NA-PET-CT Ganzkoerper  primaer mit KM-50630.nii.gz,0.0,829.0,0
PETCT_1956667fce_02-10-2006-NA-PET-CT Ganzkoerper  primaer mit KM-90464.nii.gz,1.0,0.0,0
PETCT_b621742469_11-04-2004-NA-PET-CT Ganzkoerper  primaer mit KM-74522.nii.gz,1.0,0.0,0
PETCT_302613f9a5_04-06-2007-NA-PET-CT Ganzkoerper nativ-59045.nii.gz,1.0,0.0,0
PETCT_64c0cba177_08-07-2006-NA-PET-CT Teilkoerper  primaer mit KM-88504.nii.gz,1.0,0.0,0
PETCT_9a66a81ad1_05-13-2006-NA-PET-CT Ganzkoerper  primaer mit KM-84406.nii.gz,1.0,0.0,0
PETCT_94cc0dac49_03-09-2007-NA-PET-CT Ganzkoerper  primaer mit KM-58245.nii.gz,0.0,84.0,0
PETCT_21853fc15b_10-12-2002-NA-PET-CT Ganzkoerper  primaer mit KM-55807.nii.gz,0.7594128908742821,2785.0,1916
PETCT_335a00191d_02-16-2001-NA-PET-CT Ganzkoerper  primaer mit KM-25682.nii.gz,0.5443875733543319,36874.0,16463
PETCT_8e905366fe_04-27-2001-NA-PET-CT Ganzkoerper  primaer mit KM-77912.nii.gz,0.0,183.0,0
PETCT_9a66a81ad1_10-21-2005-NA-PET-CT Ganzkoerper  primaer mit KM-71418.nii.gz,1.0,0.0,0
PETCT_b79961f3f6_07-07-2007-NA-PET-CT Ganzkoerper nativ-20368.nii.gz,1.0,0.0,0
PETCT_997d4ef9a7_07-22-2005-NA-PET-CT Ganzkoerper  primaer mit KM-14519.nii.gz,1.0,0.0,0
PETCT_eee2ede9ad_11-24-2006-NA-PET-CT Ganzkoerper  primaer mit KM-07089.nii.gz,1.0,0.0,0
PETCT_5a58935b68_12-06-2002-NA-PET-CT Ganzkoerper  primaer mit KM-24073.nii.gz,0.6882999044890162,24823.0,17057
PETCT_1956667fce_07-28-2005-NA-PET-CT Ganzkoerper  primaer mit KM-69901.nii.gz,0.7680999170708416,67840.0,91332
PETCT_eca59074b9_07-20-2002-NA-PET-CT Ganzkoerper  primaer mit KM-73521.nii.gz,1.0,0.0,0
PETCT_2b60c8135a_12-09-2005-NA-PET-CT Ganzkoerper  primaer mit KM-49696.nii.gz,0.7207508746845178,91462.0,93176
PETCT_36d8219e3f_02-09-2006-NA-PET-CT Ganzkoerper  primaer mit KM-44599.nii.gz,0.0,15196.0,0
PETCT_a3ce52b2a8_10-19-2002-NA-PET-CT Ganzkoerper  primaer mit KM-28693.nii.gz,1.0,0.0,0
PETCT_4f7a8f41c0_05-27-2001-NA-PET-CT Ganzkoerper  primaer mit KM-67950.nii.gz,0.45223776917733455,36469.0,13916
PETCT_80ccbdadf9_05-06-2002-NA-PET-CT Ganzkoerper  primaer mit KM-73465.nii.gz,0.0,1444.0,0
PETCT_7d01eb835d_03-31-2002-NA-PET-CT Ganzkoerper  primaer mit KM-36135.nii.gz,0.0,1840.0,0
PETCT_544676de40_03-23-2007-NA-PET-CT Ganzkoerper  primaer mit KM-57333.nii.gz,1.0,0.0,0
PETCT_4f6ff86453_08-25-2006-NA-PET-CT Ganzkoerper  primaer mit KM-68065.nii.gz,1.0,0.0,0
PETCT_3cd49210eb_12-29-2002-NA-PET-CT Ganzkoerper  primaer mit KM-16881.nii.gz,1.0,0.0,0
PETCT_40a125468a_07-03-2004-NA-PET-CT Ganzkoerper  primaer mit KM-99283.nii.gz,0.0,1300.0,0
PETCT_4cc808d16f_06-11-2006-NA-PET-CT Ganzkoerper  primaer mit KM-36881.nii.gz,1.0,0.0,0
PETCT_cc5c58c82d_07-26-2001-NA-PET-CT Ganzkoerper  primaer mit KM-77724.nii.gz,0.7541884097775337,10554.0,7651
PETCT_0410759456_11-07-2002-NA-PET-CT Ganzkoerper  primaer mit KM-75415.nii.gz,1.0,0.0,0
PETCT_777fa0ba88_11-04-2002-NA-PET-CT Teilkoerper  primaer mit KM-03413.nii.gz,1.0,0.0,0
PETCT_5f569fb737_09-12-2002-NA-PET-CT Ganzkoerper  primaer mit KM-70669.nii.gz,0.0,2884.0,0
PETCT_06a46414eb_03-12-2006-NA-PET-CT Ganzkoerper  primaer mit KM-38502.nii.gz,0.0,463.0,0
PETCT_72725f2bda_07-06-2007-NA-PET-CT Ganzkoerper  primaer mit KM-20241.nii.gz,1.0,0.0,0
PETCT_631b419cef_11-23-2006-NA-PET-CT Ganzkoerper  primaer mit KM-73635.nii.gz,1.0,0.0,0
PETCT_24cb79a92b_04-13-2003-NA-PET-CT Ganzkoerper nativ-59029.nii.gz,1.0,0.0,0
PETCT_581fa95eb0_03-24-2003-NA-PET-CT Ganzkoerper nativ-73563.nii.gz,0.0,4003.0,0
PETCT_13b40a817b_02-18-2001-NA-PET-CT Ganzkoerper  primaer mit KM-46202.nii.gz,0.521883215167689,160955.0,90105
PETCT_e2a729e21f_12-23-2002-NA-Unspecified CT-78127.nii.gz,1.0,0.0,0
PETCT_16cdbc8689_07-15-2005-NA-PET-CT Ganzkoerper  primaer mit KM-33251.nii.gz,0.8100120591782112,93425.0,76570
PETCT_2a78eed085_12-22-2001-NA-PET-CT Ganzkoerper  primaer mit KM-17302.nii.gz,0.7040660348517273,3439.0,3103
PETCT_44cfacfd6e_04-15-2007-NA-PET-CT Ganzkoerper  primaer mit KM-69456.nii.gz,1.0,0.0,0
PETCT_ea0fd89f0f_10-25-2003-NA-PET-CT Ganzkoerper  primaer mit KM-32502.nii.gz,0.4557853529485369,42404.0,13539
PETCT_d40a16781a_09-13-2003-NA-PET-CT Ganzkoerper  primaer mit KM-42002.nii.gz,0.0,8830.0,0
PETCT_223f70f0b0_11-29-2003-NA-PET-CT Ganzkoerper  primaer mit KM-10527.nii.gz,0.0,1052.0,0
PETCT_73fda3a382_08-12-2005-NA-PET-CT Ganzkoerper  primaer mit KM-37318.nii.gz,0.798802915038951,21695.0,22078
PETCT_d51bacdaba_06-28-2001-NA-PET-CT Ganzkoerper  primaer mit KM-86564.nii.gz,0.6121587582544762,9623.0,5066
PETCT_544676de40_12-15-2005-NA-PET-CT Ganzkoerper  primaer mit KM-44814.nii.gz,1.0,0.0,0
PETCT_9a66a81ad1_02-26-2005-NA-PET-CT Ganzkoerper  primaer mit KM-42006.nii.gz,1.0,0.0,0
PETCT_30e2b83b74_09-01-2002-NA-PET-CT Ganzkoerper  primaer mit KM-04419.nii.gz,1.0,0.0,0
PETCT_5c57a98a43_02-24-2005-NA-PET-CT Ganzkoerper  primaer mit KM-15963.nii.gz,1.0,0.0,0
PETCT_fde79b6aa9_02-23-2003-NA-PET-CT Ganzkoerper  primaer mit KM-88403.nii.gz,1.0,0.0,0
PETCT_c852dfc0a5_07-26-2002-NA-PET-CT Ganzkoerper  primaer mit KM-15871.nii.gz,1.0,0.0,0
PETCT_ae96f738c0_05-01-2003-NA-PET-CT Ganzkoerper  primaer mit KM-67749.nii.gz,0.0,2869.0,0
PETCT_fde79b6aa9_05-09-2005-NA-PET-CT Ganzkoerper  primaer mit KM-13154.nii.gz,0.0,3498.0,0
PETCT_1a8bd52f71_05-05-2006-NA-PET-CT Ganzkoerper  primaer mit KM-99815.nii.gz,1.0,0.0,0
PETCT_43323b7d42_05-27-2001-NA-PET-CT Ganzkoerper  primaer mit KM-89158.nii.gz,0.0,36010.0,0
PETCT_62b114e09b_06-09-2003-NA-PET-CT Ganzkoerper  primaer mit KM-80184.nii.gz,1.0,0.0,0
PETCT_7c96c4626d_06-30-2003-NA-PET-CT Ganzkoerper  primaer mit KM-22056.nii.gz,1.0,0.0,0
PETCT_544676de40_07-03-2005-NA-PET-CT Ganzkoerper  primaer mit KM-95400.nii.gz,0.0,2311.0,0
PETCT_1781ba966c_08-08-2002-NA-PET-CT Ganzkoerper  primaer mit KM-99061.nii.gz,1.0,0.0,0
PETCT_661ddc60e0_03-08-2002-NA-PET-CT Ganzkoerper  primaer mit KM-11572.nii.gz,0.0,188.0,0
PETCT_7a3a27371a_04-13-2006-NA-PET-CT Ganzkoerper  primaer mit KM-47449.nii.gz,1.0,0.0,0
PETCT_19b68a666b_04-14-2005-NA-PET-CT Ganzkoerper  primaer mit KM-01313.nii.gz,0.0,65833.0,0
PETCT_f144b214af_02-23-2001-NA-PET-CT Ganzkoerper  primaer mit KM-64199.nii.gz,0.0,11137.0,0
PETCT_94cc0dac49_03-10-2006-NA-PET-CT Ganzkoerper  primaer mit KM-53966.nii.gz,1.0,0.0,0
PETCT_d8a92bafe3_03-18-2007-NA-PET-CT Ganzkoerper  primaer mit KM-39181.nii.gz,0.0,1459.0,0
PETCT_0410759456_08-22-2003-NA-PET-CT Ganzkoerper  primaer mit KM-20805.nii.gz,1.0,0.0,0
PETCT_777fa0ba88_04-07-2003-NA-PET-CT Teilkoerper  primaer mit KM-31863.nii.gz,1.0,0.0,0
PETCT_277fc3c67c_11-15-2003-NA-PET-CT Ganzkoerper  primaer mit KM-80269.nii.gz,1.0,0.0,0
PETCT_df2e16771a_11-14-2003-NA-PET-CT Ganzkoerper  primaer mit KM-63775.nii.gz,1.0,0.0,0
PETCT_6f46454a8d_09-03-2005-NA-PET-CT Ganzkoerper  primaer mit KM-10900.nii.gz,1.0,0.0,0
PETCT_8b73608326_04-04-2003-NA-PET-CT Teilkoerper nativ-68066.nii.gz,1.0,0.0,0
PETCT_ccb9c375b2_10-01-2005-NA-PET-CT Ganzkoerper  primaer mit KM-48947.nii.gz,1.0,0.0,0
PETCT_c252d734a0_08-09-2003-NA-PET-CT Ganzkoerper nativ-85011.nii.gz,0.8093922651933702,3335.0,3181
PETCT_9b9d67b3ff_07-12-2003-NA-PET-CT Teilkoerper  primaer mit KM-95263.nii.gz,1.0,0.0,0
PETCT_9c9a347388_09-09-2000-NA-PET-CT Ganzkoerper  primaer mit KM-73640.nii.gz,0.4108885464817668,10196.0,3433
PETCT_c6730783de_01-05-2006-NA-PET-CT Ganzkoerper  primaer mit KM-13754.nii.gz,1.0,0.0,0
PETCT_0117d7f11f_09-13-2001-NA-PET-CT Ganzkoerper  primaer mit KM-68547.nii.gz,0.0,14453.0,0
PETCT_e9feb1135e_09-09-2005-NA-PET-CT Ganzkoerper  primaer mit KM-13606.nii.gz,1.0,0.0,0
PETCT_a19ef8e0d2_12-26-1999-NA-PET-CT Ganzkoerper  primaer mit KM-80792.nii.gz,0.0,126834.0,0
PETCT_983a76fd43_11-01-2001-NA-PET-CT Ganzkoerper  primaer mit KM-70379.nii.gz,0.7233275663206459,63376.0,61472
